"Research Date","Master ID","Venue Name","Venue Type","Website","Gigs / Shows / What’s On","Menu","Contact Us","Instagram","Facebook","About Us","Location","Street Address","Suburb / City / Town","State","Postcode","Phone","Email","Venue Capacity","Verification Notes"
"2026-08-01","Aggits_011","Albert Park Yachting & Angling Club","Yacht club and hospitality venue","https://apyac.org.au/","https://apyac.org.au/events/","https://apyac.org.au/dining/","https://apyac.org.au/contact-us/","https://www.instagram.com/apyac/","https://www.facebook.com/likeapyac","https://apyac.org.au/history/","Albert Park","Kerferd Road Pier, 129B Beaconsfield Parade","Albert Park","VIC","3206","(03) 9690 5530","admin@apyac.org.au","","All required destinations verified on official website."
"2026-08-01","Aggits_012","Alpine Hotel Warburton","Hotel, pub and live music venue","https://alpineretreat.com.au/","https://alpineretreat.com.au/live-music","https://alpineretreat.com.au/menu","https://alpineretreat.com.au/contact","https://www.instagram.com/thealpinehotelwarburton/","https://www.facebook.com/AlpineWarburton/","https://alpineretreat.com.au/about","Warburton","3340 Warburton Highway","Warburton","VIC","3799","03 5966 2411","bookings@alpineretreat.com.au","343","All required destinations verified on official website."
"2026-08-01","Aggits_013","Anglers Tavern","Pub and beer garden","https://anglers-tavern.com.au/","https://anglers-tavern.com.au/whats-on/","https://anglers-tavern.com.au/eat-drink/","https://anglers-tavern.com.au/contact/","https://www.instagram.com/anglerstavernmelbourne/","https://www.facebook.com/AnglersTavern","https://anglers-tavern.com.au/history/","Maribyrnong","2 Anglers Way","Maribyrnong","VIC","3032","(03) 9318 2811","info@anglers-tavern.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_014","Ball Court Hotel","Pub and beer garden","https://ballcourthotel.com.au/","https://ballcourthotel.com.au/whats-on/","https://ballcourthotel.com.au/eat-drink/","https://ballcourthotel.com.au/contact/","https://www.instagram.com/ball_court_hotel/","https://www.facebook.com/BallcourtHotelSunbury/","https://ballcourthotel.com.au/history/","Sunbury","60 Macedon Street","Sunbury","VIC","3429","(03) 9744 1310","info@ballcourthotel.com.au","825","All required destinations verified on official website."
"2026-08-01","Aggits_015","BrewDog Pentridge","Brewpub and beer hall","https://brewdogpentridge.com.au/","https://brewdogpentridge.com.au/whats-on/","https://brewdogpentridge.com.au/eat-drink/","https://brewdogpentridge.com.au/contact/","https://www.instagram.com/brewdogpentridge/","https://en-gb.facebook.com/brewdogpentridge","https://brewdogpentridge.com.au/history/","Coburg","E-Division, 1 Champ Street","Coburg","VIC","3058","(03) 8840 4896","info@brewdogpentridge.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_016","Capel Sound Bar","Live music bar and restaurant","https://www.capelsoundbar.com.au/","https://www.capelsoundbar.com.au/events","https://www.capelsoundbar.com.au/menus","https://www.capelsoundbar.com.au/contact","https://www.instagram.com/soundbar_capelsound/","https://www.facebook.com/soundcocktailbar","https://www.capelsoundbar.com.au/about","Capel Sound","1625-1627 Point Nepean Road","Capel Sound","VIC","3940","+61 3 5903 5970","contact@capelsoundbar.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_017","Death & Co Melbourne","Cocktail bar","https://deathandcompanymelbourne.com.au/","https://deathandcompanymelbourne.com.au/whats-on/","https://deathandcompanymelbourne.com.au/eat-drink/","https://deathandcompanymelbourne.com.au/contact/","https://www.instagram.com/deathandcompanyaus","https://www.facebook.com/deathandcompanyaus/","https://deathandcompanymelbourne.com.au/about-us/","Melbourne CBD","87 Flinders Lane","Melbourne","VIC","3000","(03) 9810 0044","info@deathandcompanymelbourne.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_018","Fargo and Co","Cocktail bar and rooftop venue","https://fargoandco.com.au/","https://fargoandco.com.au/whats-on/","https://fargoandco.com.au/menu/","https://fargoandco.com.au/contact/","https://www.instagram.com/fargoandco/","https://www.facebook.com/fargoandco/","https://fargoandco.com.au/history/","Richmond","216 Swan Street","Richmond","VIC","3121","(03) 9810 0077","info@fargoandco.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_019","Garden State Hotel","Pub, restaurant and bar","https://gardenstatehotel.com.au/","https://gardenstatehotel.com.au/whats-on/","https://gardenstatehotel.com.au/eat-drink/","https://gardenstatehotel.com.au/contact/","https://www.instagram.com/gardenstatehotel","https://www.facebook.com/gardenstatehotel","https://gardenstatehotel.com.au/history/","Melbourne CBD","101 Flinders Lane","Melbourne","VIC","3000","(03) 8396 5777","info@gardenstatehotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_020","Golden Gate Hotel","Pub and live music venue","https://goldengatehotel.com.au/","https://goldengatehotel.com.au/whats-on/","https://goldengatehotel.com.au/menu/","https://goldengatehotel.com.au/contact/","https://www.instagram.com/goldengatehotel/","https://www.facebook.com/thegoldengatehotelsouthmelb","https://goldengatehotel.com.au/history/","South Melbourne","238 Clarendon Street","South Melbourne","VIC","3205","(03) 9810 0050","info@goldengatehotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_021","Harlow","Pub, rooftop bar and beer garden","https://harlowbar.com.au/","https://harlowbar.com.au/whats-on/","https://harlowbar.com.au/eat-drink/","https://harlowbar.com.au/contact/","https://www.instagram.com/harlowbar/","https://www.facebook.com/HarlowBar/","https://harlowbar.com.au/history/","Richmond","447 Church Street","Richmond","VIC","3121","(03) 9810 0082","info@harlowbar.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_022","Hopscotch","Urban beer bar and live entertainment venue","https://hopscotchmelbourne.com.au/","https://hopscotchmelbourne.com.au/whats-hoppening/","https://hopscotchmelbourne.com.au/eat-drink/","https://hopscotchmelbourne.com.au/contact/","https://www.instagram.com/hopscotchmelbourne/","https://www.facebook.com/HopscotchMelbourne","https://hopscotchmelbourne.com.au/history/","Southbank","Ground Floor, 4 Riverside Quay","Southbank","VIC","3006","(03) 9810 0099","info@hopscotchmelbourne.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_023","Morris House","Pub, rooftop bar and comedy venue","https://morrishouse.com.au/","https://morrishouse.com.au/whats-on/","https://morrishouse.com.au/eat-drink/","https://morrishouse.com.au/contact/","https://www.instagram.com/morrishousemelbourne/","https://www.facebook.com/MorrisHouseMelbourne/","https://morrishouse.com.au/history/","Melbourne CBD","120 Exhibition Street","Melbourne","VIC","3000","(03) 8563 0080","info@morrishouse.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_024","Prince Alfred Hotel","Pub and beer garden","https://princealfredhotel.com.au/","https://princealfredhotel.com.au/whats-on/","https://princealfredhotel.com.au/menu/","https://princealfredhotel.com.au/contact/","https://www.instagram.com/princealfredrichmond","https://www.facebook.com/PrinceAlfredHotel/","https://princealfredhotel.com.au/history/","Richmond","619 Church Street","Richmond","VIC","3121","(03) 8563 0046","info@princealfredhotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_025","State of Grace","Restaurant, cocktail bar and rooftop venue","https://stateofgracemelbourne.com.au/","https://stateofgracemelbourne.com.au/whats-on/","https://stateofgracemelbourne.com.au/menu/","https://stateofgracemelbourne.com.au/contact/","https://www.instagram.com/stateofgracemelbourne/","https://www.facebook.com/stateofgracemelbourne/","https://stateofgracemelbourne.com.au/history/","Melbourne CBD","27 King Street","Melbourne","VIC","3000","(03) 8563 0020","info@stateofgracemelbourne.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_026","Studley Park Boathouse","Boathouse, restaurant and events venue","https://studleyparkboathousekew.com.au/","https://studleyparkboathousekew.com.au/whats-on/","https://studleyparkboathousekew.com.au/eat-drink/","https://studleyparkboathousekew.com.au/contact/","https://www.instagram.com/studleyparkboathouse/","https://www.facebook.com/spboathouse/","https://studleyparkboathousekew.com.au/history/","Kew","1 Boathouse Road","Kew","VIC","3101","(03) 8563 0028","info@studleyparkboathousekew.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_027","Swan Hotel","Pub and live music venue","https://theswan.com.au/","https://theswan.com.au/live-music/","https://theswan.com.au/eat-drink/","https://theswan.com.au/contact/","https://www.instagram.com/swanhotelrichmond","https://www.facebook.com/@theswanrichmond","https://theswan.com.au/history/","Richmond","425 Church Street","Richmond","VIC","3121","(03) 8840 4834","info@theswan.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_028","The Exchange Hotel","Pub and live music venue","https://theexchangehotel.net.au/","https://theexchangehotel.net.au/whats-on/","https://theexchangehotel.net.au/menu/","https://theexchangehotel.net.au/contact-us/","https://www.instagram.com/exchangeportmelb/","https://www.facebook.com/theexchangeportmelbourne","https://theexchangehotel.net.au/history/","Port Melbourne","39 Bay Street","Port Melbourne","VIC","3207","(03) 9810 0058","info@theexchangehotel.net.au","","All required destinations verified on official website."
"2026-08-01","Aggits_029","The Local Taphouse","Craft beer pub and comedy venue","https://thelocal.com.au/","https://thelocal.com.au/whats-on","https://thelocal.com.au/menu","https://thelocal.com.au/contact","https://www.instagram.com/thelocaltaphousesk/","https://www.facebook.com/thelocaltaphouseSK/","https://thelocal.com.au/about","St Kilda East","184 Carlisle Street","St Kilda East","VIC","3183","03 9537 2633","stkilda@thelocal.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_030","Village Belle Hotel","Pub and live music venue","https://villagebelle.com.au/","https://villagebelle.com.au/whats-on/","https://villagebelle.com.au/eat-drink/","https://villagebelle.com.au/contact/","https://www.instagram.com/villagebellehotel/","https://www.facebook.com/VillageBelleHotel/","https://villagebelle.com.au/history/","St Kilda","202 Barkly Street","St Kilda","VIC","3182","(03) 8840 4822","info@villagebelle.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_031","West Beach Pavilion","Beachfront restaurant and events venue","https://westbeachstkilda.com.au/","https://westbeachstkilda.com.au/whats-on/","https://westbeachstkilda.com.au/eat-drink/","https://westbeachstkilda.com.au/contact/","https://www.instagram.com/westbeachpavilion/","https://www.facebook.com/westbeachpavilion/","https://westbeachstkilda.com.au/history/","St Kilda West","330A Beaconsfield Parade","St Kilda West","VIC","3182","(03) 9593 8833","info@westbeachstkilda.com.au","","All required destinations verified on official website."
